time_s,target_x,target_y,target_z,position_x,position_y,position_z,pd_x,pd_y,pd_z,position_error_m,pd_error_m,tau_base,tau_shoulder,tau_elbow
2.123999999999987676e+00,9.841193921747102280e-01,-1.592099440835884061e-01,7.199999999999999734e-01,9.829723129350174116e-01,-1.583884649117955346e-01,7.132097988768094643e-01,9.890872036247706500e-01,-1.599663097188310790e-01,7.136505120197425001e-01,6.935232519908860263e-03,8.097359890048212369e-03,-5.797255586241913949e-01,-2.307746578934469639e+01,-3.445745673362360151e+00
2.159999999999983711e+00,9.968188499735887165e-01,-1.599683727632104924e-01,7.199999999999999734e-01,9.955301353734232750e-01,-1.602057759142400117e-01,7.129684147773417413e-01,1.001818257435649784e+00,-1.603647368872186674e-01,7.135383584222457776e-01,7.152645407141607764e-03,8.179486008905105521e-03,-1.343526201000144527e+00,-2.315824945593541884e+01,-3.510010037435133512e+00
2.195999999999979746e+00,1.009538420027171091e+00,-1.597154298851092835e-01,7.199999999999999734e-01,1.008122815765844171e+00,-1.609985466149707611e-01,7.127492779856915428e-01,1.014543297142064038e+00,-1.597499546070893783e-01,7.134269933944273889e-01,7.498219368351011563e-03,8.261622281883127666e-03,-2.088912050780339591e+00,-2.326275980186427361e+01,-3.564803086174777036e+00
2.231999999999975781e+00,1.022197685118251043e+00,-1.584527146356002891e-01,7.199999999999999734e-01,1.020673051446972179e+00,-1.607627400186208699e-01,7.125559026162682219e-01,1.027181841053273370e+00,-1.581260747613993378e-01,7.133169173629424487e-01,7.941996660807568165e-03,8.343386454298761315e-03,-2.812953004074592034e+00,-2.339099873534861018e+01,-3.610350297834173716e+00
2.267999999999971816e+00,1.034716609297011036e+00,-1.561882103070481309e-01,7.199999999999999734e-01,1.033103501840318961e+00,-1.595011375142780519e-01,7.123914798132993109e-01,1.039653976250945799e+00,-1.555035322147484689e-01,7.132086210308044016e-01,8.453826457804259134e-03,8.424322217906557095e-03,-3.512991063398053004e+00,-2.354266784760901388e+01,-3.646853062216138142e+00
2.303999999999967851e+00,1.047016043894067439e+00,-1.529362338249217468e-01,7.199999999999999734e-01,1.045337261019332997e+00,-1.572232557638894024e-01,7.122588338190263269e-01,1.051880861253243982e+00,-1.518990223126049366e-01,7.131025881891980278e-01,9.006804254958677633e-03,8.503913531264187253e-03,-4.186603047421019852e+00,-2.371719157316561422e+01,-3.674452209558488391e+00
2.339999999999963887e+00,1.059018227923841371e+00,-1.487173452315819211e-01,7.199999999999999734e-01,1.057298338886533351e+00,-1.539452249934190053e-01,7.121603850520787926e-01,1.063785221429916383e+00,-1.473354000377339046e-01,7.129992968940737086e-01,9.578533689273494370e-03,8.581599127382181710e-03,-4.831569884692435757e+00,-2.391374248486943443e+01,-3.693191090808905841e+00
2.375999999999959922e+00,1.070647279714545874e+00,-1.435582176990739256e-01,7.199999999999999734e-01,1.068912145682902493e+00,-1.496896306796961784e-01,7.120981193529726250e-01,1.075291834288520487e+00,-1.418415409842423702e-01,7.128992192468691647e-01,1.015109023733782971e-02,8.656786553791557398e-03,-5.445851788368088364e+00,-2.413126696424626516e+01,-3.702981090554203547e+00
2.411999999999955957e+00,1.081829676656547612e+00,-1.374914688927457718e-01,7.199999999999999734e-01,1.080105974708687189e+00,-1.444853202801186232e-01,7.120735627838952198e-01,1.086328001784882424e+00,-1.354521646429502901e-01,7.128028200622147370e-01,1.071043942023694288e-02,8.728865323757757297e-03,-6.027568444808781400e+00,-2.436850983054652531e+01,-3.703573754165606857e+00
2.447999999999951992e+00,1.092494720035975808e+00,-1.305554547518657516e-01,7.199999999999999734e-01,1.090809478399600740e+00,-1.383671764267686288e-01,7.120877616281834355e-01,1.096824006856798039e+00,-1.282076208148283381e-01,7.127105547157371879e-01,1.124573478931303709e-02,8.797218942660835553e-03,-6.574983326244058013e+00,-2.462403677202854624e+01,-3.694544970165416942e+00
2.483999999999948027e+00,1.102574982014755234e+00,-1.227940269910252347e-01,7.199999999999999734e-01,1.100955133218243231e+00,-1.313758578905904473e-01,7.121412674912588336e-01,1.106713551441553145e+00,-1.201536402756061828e-01,7.126228664514087097e-01,1.174867687683334334e-02,8.861235709602727564e-03,-7.086491306307904026e+00,-2.489625363420512016e+01,-3.675297500048788635e+00
2.519999999999944063e+00,1.112006731931108217e+00,-1.142562558554798963e-01,7.199999999999999734e-01,1.110478689159867915e+00,-1.235575095989733807e-01,7.122341276356422002e-01,1.115934173315971112e+00,-1.113410511009188530e-01,7.125401833983168176e-01,1.221298528170271236e-02,8.920318285986028259e-03,-7.560608876864058914e+00,-2.518342184162390396e+01,-3.645088107802699540e+00
2.555999999999940098e+00,1.120730339225316730e+00,-1.049961198832600889e-01,7.199999999999999734e-01,1.119319600015460159e+00,-1.149634430433435772e-01,7.123658808697396205e-01,1.124427639192278505e+00,-1.018254623261933001e-01,7.124629155078410214e-01,1.263398159689852265e-02,8.973892078235800457e-03,-7.995966405027461477e+00,-2.548366953414804925e+01,-3.603084100022535097e+00
2.591999999999936133e+00,1.128690650443322507e+00,-9.507216463547363272e-02,7.199999999999999734e-01,1.127421430872291630e+00,-1.056497885243713047e-01,7.125355594395222925e-01,1.132140311613269557e+00,-9.166691685893865738e-02,7.123914515791700541e-01,1.300826346348238870e-02,9.021412510197628423e-03,-8.391302009786677729e+00,-2.579499844901405226e+01,-3.548450866968565265e+00
2.627999999999932168e+00,1.135837337934618274e+00,-8.454713255241903813e-02,7.199999999999999734e-01,1.134732239657737285e+00,-9.567712083487255048e-02,7.127416974341325151e-01,1.139023487315625971e+00,-8.092951578408633106e-02,7.123261564975410520e-01,1.333344807267782331e-02,9.062371271408423135e-03,-8.745456765007787681e+00,-2.611528720197829045e+01,-3.480466979226731539e+00
2.663999999999928203e+00,1.142125218039861112e+00,-7.348756627567647193e-02,7.199999999999999734e-01,1.141204929845414329e+00,-8.511006016026834153e-02,7.129823462049577065e-01,1.145033704871140534e+00,-6.968101640676885311e-02,7.122673687681367882e-01,1.360796675647337958e-02,9.096301628694620015e-03,-9.057371042794191141e+00,-2.644229237495431306e+01,-3.398657050133596869e+00
