time_s,target_x,target_y,target_z,kinematic_x,kinematic_y,kinematic_z,mujoco_x,mujoco_y,mujoco_z,kinematic_error_m,mujoco_error_m
1.560000000000001164e+00,9.652733082262905384e-01,-1.766183933752477897e-01,7.199999999999999734e-01,9.638412012131793993e-01,-1.762864032743301501e-01,7.199201398113390660e-01,9.621266894128321923e-01,-1.694611516387380112e-01,7.077124972703153771e-01,1.472251871740147891e-03,1.456399816547825250e-02
1.584000000000001185e+00,9.778182891585114334e-01,-1.786280260881382143e-01,7.199999999999999734e-01,9.763667900214471063e-01,-1.783817699226620257e-01,7.199210598048534360e-01,9.743094553865823126e-01,-1.737223004306153451e-01,7.071487802134760470e-01,1.474355248352070573e-03,1.419619345696065786e-02
1.608000000000001206e+00,9.904737782583706851e-01,-1.797477429603200894e-01,7.199999999999999734e-01,9.890092640549793535e-01,-1.795887853422032943e-01,7.199226599459951359e-01,9.866218758745727291e-01,-1.770976529676934474e-01,7.066074005319860074e-01,1.475144352341757181e-03,1.418526874803492134e-02
1.632000000000001227e+00,1.003176726515762951e+00,-1.799719656186597461e-01,7.199999999999999734e-01,1.001705677540592365e+00,-1.799016024523733270e-01,7.199248668847535448e-01,9.990077717730756479e-01,-1.795695682110789448e-01,7.060951967309420096e-01,1.474646075343814117e-03,1.452190281166375677e-02
1.656000000000001249e+00,1.015863848481448173e+00,-1.792995769971520437e-01,7.199999999999999734e-01,1.014392825762772787e+00,-1.793188012565641032e-01,7.199276045066173024e-01,1.011410203824275600e+00,-1.811256482250681032e-01,7.056187221339796922e-01,1.472928551719731183e-03,1.516544229231279323e-02
1.680000000000001270e+00,1.028471937551974635e+00,-1.777339269020871415e-01,7.199999999999999734e-01,1.027007557845839747e+00,-1.778433966104254471e-01,7.199307961360543739e-01,1.023771686418980531e+00,-1.817587231029398898e-01,7.051841554459591377e-01,1.470095478385120835e-03,1.605616999851186555e-02
1.704000000000001291e+00,1.040938180861799234e+00,-1.752828153234840536e-01,7.199999999999999734e-01,1.039487089254232055e+00,-1.754828245102628970e-01,7.199343662220931694e-01,1.036034426720156887e+00,-1.814668042889579225e-01,7.047972248415250718e-01,1.466280437416442187e-03,1.712929936471187589e-02
1.728000000000001313e+00,1.053200472213823069e+00,-1.719584535759327848e-01,7.199999999999999734e-01,1.051769312519234223e+00,-1.722489067838617327e-01,7.199382415718880157e-01,1.048140585132888880e+00,-1.802530103427067987e-01,7.044631441663008475e-01,1.461641283234267489e-03,1.832473788151393543e-02
1.752000000000001334e+00,1.065197721489342664e+00,-1.677774034624391619e-01,7.199999999999999734e-01,1.063793104699290115e+00,-1.681577942073271270e-01,7.199423522046151103e-01,1.060032552843558129e+00,-1.781254685084600609e-01,7.041865597370022822e-01,1.456354597619234029e-03,1.959148565799622224e-02
1.776000000000001355e+00,1.076870158995947513e+00,-1.627604947643553068e-01,7.199999999999999734e-01,1.075498630087800001e+00,-1.632298882103632720e-01,7.199466318976861512e-01,1.071653242083621782e+00,-1.750971948093145436e-01,7.039715062836500170e-01,1.450610184503100262e-03,2.088834605430687358e-02
1.800000000000001377e+00,1.088159633237121060e+00,-1.569327214684569649e-01,7.199999999999999734e-01,1.086827636697027089e+00,-1.574897414665167306e-01,7.199510184925450584e-01,1.082946384877609969e+00,-1.711859548165113321e-01,7.038213707486477011e-01,1.444605568704955588e-03,2.218289124042999161e-02
1.824000000000001398e+00,1.099009900620071534e+00,-1.503231172481583888e-01,7.199999999999999734e-01,1.097723745069607570e+00,-1.509659377929744029e-01,7.199554540200626684e-01,1.093856836255295617e+00,-1.664141067659148654e-01,7.037388629046940070e-01,1.438540474632324200e-03,2.344991675124685759e-02
1.848000000000001419e+00,1.109366905658481839e+00,-1.429646108192119403e-01,7.199999999999999734e-01,1.108132727999726619e+00,-1.436909519058529039e-01,7.199598846971546617e-01,1.104330878198364729e+00,-1.608084283113317137e-01,7.037259920425946724e-01,1.432611288883227753e-03,2.466995602486603961e-02
1.872000000000001441e+00,1.119179050274224041e+00,-1.348938618905025921e-01,7.199999999999999734e-01,1.118002779784141865e+00,-1.357009896913448643e-01,7.199642608376018993e-01,1.114316520916789344e+00,-1.543999279153819293e-01,7.037840492824546379e-01,1.427005550255345699e-03,2.582804408376146096e-02
1.896000000000001462e+00,1.128397450856388318e+00,-1.261510785272219881e-01,7.199999999999999734e-01,1.127284773668292495e+00,-1.270358097606160697e-01,7.199685367117738544e-01,1.123763798383373480e+00,-1.472236416750596910e-01,7.039135953538512291e-01,1.421896556982202081e-03,2.691274915908666715e-02
1.920000000000001483e+00,1.136976181796974128e+00,-1.167798168363107236e-01,7.199999999999999734e-01,1.135932506204453851e+00,-1.177385271571862735e-01,7.199726703823271512e-01,1.132625055379015810e+00,-1.393184162502797974e-01,7.041144539531749569e-01,1.417438227852626121e-03,2.791543189445973641e-02
1.944000000000001505e+00,1.144872504289958570e+00,-1.068267639721241363e-01,7.199999999999999734e-01,1.143902927296817307e+00,-1.078554001798933404e-01,7.199766235361815259e-01,1.140855223605229174e+00,-1.307266784979005392e-01,7.043857110038591607e-01,1.413760394346693337e-03,2.882968052709432641e-02
1.968000000000001526e+00,1.152047079253878836e+00,-9.634150554337785055e-02,7.199999999999999734e-01,1.151156354772184143e+00,-9.743560137269191568e-02,7.199803613271904545e-01,1.148412084699205193e+00,-1.214941923993597406e-01,7.047257203054630992e-01,1.410964727937035097e-03,2.965087623788768487e-02
1.992000000000001547e+00,1.158464163317156403e+00,-8.537627858013949189e-02,7.199999999999999734e-01,1.157656672384539398e+00,-8.653097381465296722e-02,7.199838522389009343e-01,1.155256518238766850e+00,-1.116698038963046535e-01,7.051321161515649028e-01,1.409121513942400514e-03,3.037585275562303122e-02
2.015999999999999570e+00,1.164091786889777547e+00,-7.398571129157198445e-02,7.199999999999999734e-01,1.163371510236937745e+00,-7.519577391972925851e-02,7.199870679726342315e-01,1.161352733051565167e+00,-1.013051743057141740e-01,7.056018335182798751e-01,1.408267466790590278e-03,3.100262365260458494e-02
2.039999999999996927e+00,1.168901913434181372e+00,-6.222655091094417279e-02,7.199999999999999734e-01,1.168272406684927045e+00,-6.348640202616231965e-02,7.199899833627347867e-01,1.166668480348174386e+00,-9.045450306547153652e-02,7.061311363726773260e-01,1.408404740440496062e-03,3.153015833295528397e-02
2.063999999999994284e+00,1.172870579141880309e+00,-5.015738098376860271e-02,7.199999999999999734e-01,1.172334950872259363e+00,-5.146112211972216077e-02,7.199925763181892480e-01,1.171175247386759821e+00,-7.917424065579620196e-02,7.067156545250921074e-01,1.409501225202103346e-03,3.195819346713400788e-02
2.087999999999991640e+00,1.175978012319948585e+00,-3.783832950752477609e-02,7.199999999999999734e-01,1.175538905141879420e+00,-3.917977209311351849e-02,7.199948277878783776e-01,1.174848430552338563e+00,-6.752279264508745382e-02,7.073504292570801377e-01,1.411492145228270901e-03,3.228707089091804872e-02
2.111999999999988997e+00,1.178208731892601779e+00,-2.533076937700040263e-02,7.199999999999999734e-01,1.177868306663265363e+00,-2.670346599551330288e-02,7.199967217454381618e-01,1.177667486900963567e+00,-5.556021591520857172e-02,7.080299677078935039e-01,1.414282889028384759e-03,3.251759611689386542e-02
2.135999999999986354e+00,1.179551624527137577e+00,-1.269701262761604998e-02,7.199999999999999734e-01,1.179311547720921505e+00,-1.409428977092965982e-02,7.199982451890364343e-01,1.179616063382114666e+00,-4.334790822648069281e-02,7.087483057113358464e-01,1.417752928923466998e-03,3.265091388834449881e-02
2.159999999999983711e+00,1.179999999999999938e+00,-4.408728476930471644e-17,7.199999999999999734e-01,1.179861434218049121e+00,-1.414992021414431759e-03,7.199993881512749550e-01,1.180682103114274017e+00,-3.094829238281922301e-02,7.094990784599263245e-01,1.421760623646919908e-03,3.268839884824199793e-02
